,Bat_Average,Bowl_Average,Economy,FastScorer,HardHitter,Name,WicketTaker
0,12.142857142857142,34.51111111111111,7.06712172923777,1.0526315789473684,0.5882352941176471,P Kumar,29.3
1,4.8,31.42857142857143,7.885304659498208,0.6666666666666666,0.1111111111111111,PJ Sangwan,23.914285714285718
2,21.869565217391305,28.5,8.129952456418383,1.3521505376344083,0.7365591397849462,JP Faulkner,21.03333333333333
3,0.0,44.2,9.404255319148936,0.0,0.0,S Ladda,28.2
4,25.484848484848484,29.963414634146343,7.513761467889907,1.1937544357700496,0.5876508161816891,RA Jadeja,23.92682926829268
5,23.811320754716984,21.78688524590164,7.558293838862559,1.2228682170542635,0.6744186046511628,DJ Bravo,17.295081967213115
6,29.163636363636364,66.0,9.0,1.2659826361483821,0.8161010260457774,AJ Finch,44.0
7,29.559139784946236,0.0,0.0,1.262746899402848,0.8488745980707395,BB McCullum,0.0
8,37.578512396694215,43.08,7.07776560788609,1.3508615567439095,0.7878787878787878,SK Raina,36.52
9,26.859813084112147,0.0,0.0,1.232418524871355,0.6655231560891939,KD Karthik,0.0
10,24.63636363636364,0.0,0.0,1.2488479262672811,0.8202764976958525,Ishan Kishan,0.0
11,28.0,30.25531914893617,7.7493188010899186,0.9333333333333332,0.4,SB Jakati,23.425531914893615
