,count,name
0,14,GD McGrath
1,2,B Geeves
2,10,MF Maharoof
3,9,R Bhatia
4,2,DL Vettori
5,14,G Gambhir
6,14,V Sehwag
7,14,S Dhawan
8,8,Mohammad Asif
9,11,VY Mahesh
10,6,Shoaib Malik
11,7,MK Tiwary
12,8,KD Karthik
13,7,PJ Sangwan
14,6,AB de Villiers
15,7,TM Dilshan
16,6,A Mishra
