,count,name
0,17,MG Johnson
1,4,MM Patel
2,2,JJ Bumrah
3,1,JDP Oram
4,19,Harbhajan Singh
5,18,KA Pollard
6,5,RT Ponting
7,14,SR Tendulkar
8,19,KD Karthik
9,19,RG Sharma
10,15,AT Rayudu
11,13,DR Smith
12,15,PP Ojha
13,17,SL Malinga
14,5,R Dhawan
15,1,YS Chahal
16,6,DS Kulkarni
17,1,P Suyal
18,2,AN Ahmed
19,3,GJ Maxwell
20,5,AP Tare
21,1,NM Coulter-Nile
