,count,name
0,5,DP Nannes
1,2,AS Rajpoot
2,18,DJ Bravo
3,2,B Laughlin
4,18,RA Jadeja
5,18,R Ashwin
6,17,MEK Hussey
7,15,M Vijay
8,17,SK Raina
9,7,S Badrinath
10,16,MS Dhoni
11,16,CH Morris
12,15,MM Sharma
13,1,S Anirudha
14,8,JA Morkel
15,6,JO Holder
16,3,WP Saha
