,Bat_Average,Bowl_Average,Economy,FastScorer,HardHitter,Name,WicketTaker
0,30.45205479452055,0.0,0.0,1.1693845344555498,0.6196738558653341,MK Pandey,0.0
1,10.5,24.11111111111111,6.499168053244593,0.7875,0.275,WD Parnell,22.259259259259263
2,26.450980392156858,33.6,7.694656488549619,1.0173453996983408,0.6033182503770739,SC Ganguly,26.2
3,31.223140495867767,0.0,0.0,1.2763513513513514,0.7628378378378379,RV Uthappa,0.0
4,19.6,0.0,0.0,0.8235294117647058,0.3025210084033613,CJ Ferguson,0.0
5,40.333333333333336,5.0,15.0,1.2823618470855414,0.6555639666919001,SPD Smith,2.0
6,16.1,30.88888888888889,7.616438356164384,0.9252873563218392,0.4482758620689655,MN Samuels,24.33333333333333
7,9.294117647058824,20.216216216216214,6.555014605647518,0.9875,0.4875,B Kumar,18.504504504504503
8,22.2,43.25806451612904,6.807106598984772,1.0373831775700937,0.3177570093457944,M Kartik,38.12903225806452
9,3.25,28.797101449275363,7.502831969792322,0.52,0.16,AB Dinda,23.02898550724637
10,6.6,26.875,6.942949407965554,0.8571428571428571,0.4935064935064935,R Sharma,23.225
11,23.23076923076923,37.125,7.394190871369295,1.296137339055794,0.8369098712446352,JD Ryder,30.125
