,count,name
0,10,RS Bopara
1,10,MS Bisla
2,12,KC Sangakkara
3,14,Yuvraj Singh
4,13,DPMD Jayawardene
5,14,IK Pathan
6,3,M Kaif
7,14,PP Chawla
8,7,RR Powar
9,6,S Sreesanth
10,2,YA Abdulla
11,4,Bipul Sharma
12,8,SJ Srivastava
13,3,AB Barath
14,7,J Theron
15,4,B Lee
16,3,VS Malik
17,2,K Goel
18,4,SE Marsh
19,2,L Ablish
20,1,RS Sodhi
21,1,VRV Singh
