,count,name
0,10,CH Gayle
1,16,V Kohli
2,16,AB de Villiers
3,16,SR Watson
4,3,KM Jadhav
5,4,SN Khan
6,1,AF Milne
7,4,Parvez Rasool
8,5,HV Patel
9,13,YS Chahal
10,1,D Wiese
11,9,S Aravind
12,12,KL Rahul
13,3,TM Head
14,12,STR Binny
15,4,KW Richardson
16,8,VR Aaron
17,8,Iqbal Abdulla
18,4,T Shamsi
19,8,Sachin Baby
20,9,CJ Jordan
