,Bat_Average,Bowl_Average,Economy,FastScorer,HardHitter,Name,WicketTaker
0,27.959459459459463,0.0,0.0,1.3305466237942123,0.969774919614148,AC Gilchrist,1.0
1,29.84848484848485,54.83333333333334,8.891891891891891,1.1400462962962965,0.6134259259259259,Y Venugopal Rao,37.0
2,18.8,0.0,0.0,1.0405904059040592,0.5977859778597786,VVS Laxman,0.0
3,42.34782608695652,32.8,7.288888888888889,1.2471190781049937,0.6939820742637645,A Symonds,27.0
4,35.05833333333333,28.33333333333333,7.456140350877192,1.2849725106902872,0.7495418448381185,RG Sharma,22.8
5,18.714285714285715,33.75,7.297297297297297,0.9776119402985076,0.4328358208955224,SB Styris,27.75
6,9.8,0.0,0.0,1.225,0.8,AS Yadav,0.0
7,9.8,53.0,8.313725490196079,0.8448275862068966,0.3793103448275862,SB Bangar,38.25
8,13.5,19.166666666666668,7.1875,1.1095890410958904,0.3561643835616438,WPUJC Vaas,16.0
9,4.727272727272728,24.322222222222226,7.103299080584098,0.6666666666666666,0.1794871794871795,RP Singh,20.544444444444444
10,2.0,25.404494382022467,6.974807197943446,0.3555555555555556,0.0,PP Ojha,21.85393258426966
11,10.125,24.444444444444446,7.135135135135134,1.7608695652173914,1.391304347826087,Shahid Afridi,20.555555555555557
