,count,name
0,13,AM Rahane
1,11,SV Samson
2,12,SPD Smith
3,12,KK Nair
4,13,STR Binny
5,13,JP Faulkner
6,11,DJ Hooda
7,11,CH Morris
8,7,TG Southee
9,11,DS Kulkarni
10,10,PV Tambe
11,4,Ankit Sharma
12,10,SR Watson
13,1,R Tewatia
14,1,J Theron
15,2,R Bhatia
16,1,BB Sran
