,3_w,Average,Balls,Economy,Innings,Runs,Wickets
A Zampa,2,27,225,7.3,11,270,19
DS Kulkarni,7,25,1459,7.23,71,1757,75
A Flintoff,0,52,66,9.55,3,105,2
JDP Oram,1,26,244,8.55,14,342,9
Joginder Sharma,0,28,272,8.93,15,402,12
B Kumar,11,25,2054,6.56,90,2244,111
DJG Sammy,1,18,244,8.52,19,341,11
WD Parnell,3,26,601,6.51,26,651,27
R Sharma,1,25,929,6.98,43,1075,40
MR Marsh,1,24,314,7.52,17,391,19
M Manhas,0,21,42,6.0,3,42,0
SM Harwood,0,30,67,5.55,3,61,3
AD Russell,4,26,651,8.06,34,870,31
JW Hastings,0,31,61,6.3,3,63,3
C Munro,0,15,12,7.5,2,15,0
NM Coulter-Nile,6,29,586,7.18,25,696,36
CR Woakes,2,31,278,8.09,13,372,17
C de Grandhomme,1,16,102,7.59,9,129,4
MC Henriques,1,22,918,7.92,55,1212,38
Bipul Sharma,0,20,436,7.74,28,557,17
RS Bopara,1,21,213,7.89,14,276,11
AA Jhunjhunwala,0,14,88,9.0,10,126,1
DJ Harris,0,26,18,8.67,2,26,0
AD Mathews,2,24,807,7.87,44,1054,27
MJ Clarke,0,16,66,6.09,5,67,2
SPD Smith,0,5,2,5.0,1,5,0
BA Stokes,2,27,274,6.78,12,305,12
Imran Tahir,9,31,734,7.89,32,962,47
BA Bhatt,1,27,303,7.78,15,389,12
TA Boult,2,36,355,7.97,14,470,15
J Yadav,0,21,183,6.43,10,193,4
Shoaib Akhtar,1,25,46,7.14,3,50,5
P Awana,4,31,774,7.75,33,1000,39
R Dhawan,0,25,513,7.13,25,606,18
BB Sran,1,30,345,7.98,16,455,14
S Kaul,3,28,436,8.04,21,579,22
Mohammad Nabi,0,29,66,5.27,3,58,2
Rashid Khan,2,27,328,6.52,14,352,17
Azhar Mahmood,4,30,552,7.4,23,681,29
BE Hendricks,1,37,157,8.62,7,224,9
P Prasanth,0,18,6,18.0,1,18,0
Y Gnaneswara Rao,0,7,6,7.0,1,7,0
S Narwal,1,39,113,10.83,6,195,5
AC Voges,0,12,56,8.22,7,74,0
AP Dole,0,52,73,8.75,3,105,5
FY Fazal,0,20,12,10.0,2,20,0
AG Murtaza,1,27,269,6.91,12,304,9
R Sathish,0,17,144,9.46,14,227,3
ST Jayasuriya,1,18,301,7.5,21,375,13
Mustafizur Rahman,1,27,393,6.83,17,444,17
TG Southee,1,31,666,7.68,28,852,20
YA Abdulla,3,29,222,7.95,11,294,15
VS Malik,0,21,212,7.26,13,254,6
SE Bond,0,31,191,7.03,8,218,9
JD Unadkat,6,28,969,7.89,45,1271,55
DJ Hussey,0,18,323,8.81,26,467,8
MK Tiwary,0,17,38,11.83,5,71,1
Mohammed Siraj,1,41,141,9.09,6,209,10
LJ Wright,0,24,75,10.0,6,120,2
M Ashwin,1,26,176,8.07,10,234,7
B Lee,1,28,916,6.86,38,1042,25
Y Venugopal Rao,0,17,222,8.89,20,329,6
A Symonds,1,22,540,7.29,30,656,20
PP Ojha,5,25,1945,6.98,90,2261,89
SR Tendulkar,0,19,37,9.5,4,57,0
WPUJC Vaas,1,28,288,7.19,13,345,18
AB McDonald,0,30,176,8.34,9,242,10
PD Collingwood,0,20,90,6.67,6,100,5
R Rampaul,1,24,253,6.48,12,272,16
R Tewatia,0,22,128,6.52,7,137,6
TP Sudhindra,0,66,74,11.0,3,132,1
DT Christian,0,25,747,7.26,36,900,30
HV Patel,1,28,707,8.09,34,946,34
D Wiese,1,30,289,8.12,14,390,16
V Kohli,0,14,264,8.05,26,354,4
SB Wagh,1,18,108,7.28,8,131,5
DE Bollinger,4,25,600,6.63,27,663,38
S Randiv,0,31,180,7.23,8,217,6
CH Morris,6,26,1042,7.11,48,1230,54
SM Pollock,1,24,280,6.46,13,297,11
MA Khote,0,51,30,10.2,2,51,2
S Aravind,3,27,788,7.69,38,1007,45
AA Kazi,0,20,13,10.0,1,20,0
T Natarajan,0,21,82,8.38,6,109,2
P Amarnath,0,47,132,10.73,6,236,7
CK Kapugedera,0,24,17,24.5,3,49,0
DJ Muthuswami,0,20,84,7.21,6,101,4
AD Mascarenhas,2,29,310,6.92,13,353,19
Kamran Khan,1,28,177,7.86,9,228,10
A Uniyal,0,64,38,10.67,2,64,2
D du Preez,1,55,43,7.86,2,55,4
Jaskaran Singh,0,27,111,9.0,7,162,6
AM Nayar,1,17,239,7.97,19,311,9
J Suchith,0,29,253,8.55,13,359,10
PC Valthaty,1,22,153,7.96,10,199,7
T Shamsi,0,49,96,9.19,4,147,3
SD Chitnis,0,54,38,9.0,2,54,2
NJ Rimmington,0,19,18,6.33,1,19,0
S Tyagi,0,21,220,7.89,14,284,6
P Negi,3,22,639,7.3,36,774,31
CR Brathwaite,1,27,181,8.2,10,246,8
JEC Franklin,0,15,155,8.64,15,216,9
D Salunkhe,0,17,51,8.75,5,70,1
JDS Neesham,0,29,57,9.78,4,88,1
Shivam Sharma,0,40,96,7.56,4,121,3
S Kaushik,1,32,210,8.31,10,291,6
DL Vettori,2,26,785,6.69,34,870,28
DNT Zoysa,0,48,69,8.73,3,96,2
SB Bangar,0,26,153,8.48,9,212,4
Shahid Afridi,1,24,185,7.33,10,220,9
D Kalyankrishna,0,42,50,10.62,3,85,2
AA Chavan,0,26,255,7.57,13,318,8
BCJ Cutting,0,28,171,8.21,9,230,7
TS Mills,0,36,111,8.0,5,144,5
AM Salvi,0,31,156,7.31,7,190,7
AL Menaria,0,12,113,7.78,12,140,3
Parvez Rasool,0,26,200,8.12,11,268,4
FH Edwards,0,28,150,5.76,6,144,5
B Geeves,0,90,49,11.25,2,90,1
K Santokie,0,87,51,10.88,2,87,3
S Gopal,0,30,116,8.05,6,153,7
AJ Tye,2,27,128,6.62,6,139,12
KJ Abbott,0,42,102,10.0,5,170,2
DJ Hooda,0,17,201,7.82,16,258,6
AJ Finch,0,16,44,9.43,5,66,1
Abdur Razzak,0,23,14,11.5,1,23,0
WA Mota,0,15,75,7.83,7,94,4
BMAJ Mendis,0,36,30,7.2,2,36,1
Mohammad Hafeez,0,20,63,6.1,4,61,2
Umar Gul,2,33,153,6.64,6,166,12
AC Thomas,1,29,309,7.43,14,379,14
JE Taylor,1,38,122,7.6,5,152,6
JD Ryder,0,19,241,7.42,16,297,8
ND Doshi,0,26,57,8.67,4,78,2
SMSM Senanayake,0,29,195,6.44,8,206,9
JO Holder,0,29,228,7.74,11,294,5
