,Bat_Average,Bowl_Average,Economy,FastScorer,HardHitter,WicketTaker
Karanveer Singh,12.0,26.0,8.788732394366198,0.7058823529411765,0.23529411764705882,17.75
BR Dunk,13.333333333333334,0.0,0.0,1.1111111111111112,0.7777777777777778,0.0
S Ladda,0.0,44.2,9.404255319148936,0.0,0.0,28.2
DJG Sammy,21.071428571428573,31.0,8.385245901639344,1.1752988047808766,0.6693227091633466,22.181818181818183
SV Samson,26.942307692307693,0.0,0.0,1.2257217847769029,0.673665791776028,0.0
Rashid Khan,5.5,20.705882352941178,6.439024390243903,1.2222222222222223,0.6666666666666666,19.294117647058822
Y Gnaneswara Rao,19.0,7.0,7.0,1.0555555555555556,0.6666666666666666,6.0
S Vidyut,18.125,21.0,9.692307692307692,1.2608695652173914,0.8869565217391304,13.0
V Kohli,39.78181818181818,88.5,8.045454545454545,1.2702467343976778,0.7169811320754716,66.0
SP Narine,15.941176470588236,20.74736842105263,6.12111801242236,1.4041450777202074,1.1191709844559585,20.33684210526316
AA Jhunjhunwala,21.7,126.0,8.590909090909092,0.9954128440366973,0.48623853211009177,88.0
Sandeep Sharma,26.0,21.67142857142857,7.304975922953451,0.7222222222222222,0.1111111111111111,17.8
KV Sharma,17.61111111111111,26.22,7.520076481835564,1.1122807017543859,0.5473684210526316,20.92
Q de Kock,30.25,0.0,0.0,1.2826855123674912,0.8586572438162544,0.0
JD Unadkat,4.0,23.10909090909091,7.869969040247678,0.3333333333333333,0.0,17.618181818181817
T Taibu,15.5,0.0,0.0,1.1923076923076923,0.46153846153846156,0.0
RD Chahar,3.0,27.0,7.043478260869565,1.5,0.0,23.0
SR Tendulkar,37.04761904761905,57.0,9.243243243243244,1.1418786692759295,0.6643835616438356,37.0
MM Sharma,9.333333333333334,24.6144578313253,7.827586206896552,1.0769230769230769,0.5384615384615384,18.867469879518072
CK Kapugedera,5.333333333333333,49.0,17.294117647058822,0.6666666666666666,0.0,17.0
LA Carseldine,40.5,5.0,4.285714285714286,1.1408450704225352,0.6197183098591549,7.0
KA Pollard,29.79746835443038,30.142857142857142,7.93730407523511,1.4062126642771804,0.9080047789725209,22.785714285714285
S Sohal,21.647058823529413,0.0,0.0,1.1832797427652733,0.7845659163987139,0.0
Yuvraj Singh,26.821052631578947,28.75,7.204176334106728,1.2601384767556874,0.8100890207715133,23.944444444444443
AD Mathews,26.814814814814813,39.03703703703704,7.836431226765799,1.2086811352253757,0.5843071786310517,29.88888888888889
VRV Singh,4.0,44.25,8.587601078167117,1.3333333333333333,1.3333333333333333,30.916666666666668
KS Williamson,34.25,7.0,7.0,1.2646153846153847,0.6338461538461538,6.0
R Sharma,6.6,26.875,6.942949407965554,0.8571428571428571,0.4935064935064935,23.225
R Sathish,19.285714285714285,75.66666666666667,9.458333333333334,1.1440677966101696,0.5254237288135594,48.0
AD Russell,30.210526315789473,28.06451612903226,8.018433179723502,1.64,1.1828571428571428,21.0
RA Jadeja,25.484848484848484,29.963414634146343,7.513761467889908,1.1937544357700496,0.5876508161816891,23.926829268292682
MS Gony,12.375,33.24324324324324,8.083242059145674,1.3026315789473684,0.9473684210526315,24.675675675675677
OA Shah,50.6,0.0,0.0,1.2493827160493827,0.6765432098765433,0.0
Salman Butt,27.571428571428573,0.0,0.0,1.122093023255814,0.7674418604651163,0.0
S Narwal,12.333333333333334,39.0,10.353982300884956,1.2758620689655173,0.8275862068965517,22.6
KB Arun Karthik,17.0,0.0,0.0,1.0,0.43137254901960786,0.0
R Bhatia,13.68,27.971830985915492,7.173991571342564,1.1793103448275861,0.6,23.3943661971831
FY Fazal,30.5,20.0,10.0,1.0223463687150838,0.5251396648044693,12.0
R Vinay Kumar,12.91304347826087,28.11,7.982016090866067,1.0569395017793595,0.4626334519572954,21.13
J Botha,22.72222222222222,31.24,6.609308885754584,1.1236263736263736,0.510989010989011,28.36
A Symonds,42.34782608695652,32.8,7.288888888888889,1.2471190781049937,0.6939820742637645,27.0
Shahid Afridi,10.125,24.444444444444443,7.135135135135135,1.7608695652173914,1.391304347826087,20.555555555555557
B Kumar,9.294117647058824,20.216216216216218,6.555014605647517,0.9875,0.4875,18.504504504504503
ER Dwivedi,12.0,0.0,0.0,1.6,1.3333333333333333,0.0
RS Gavaskar,2.0,8.0,8.0,0.25,0.0,6.0
DS Kulkarni,18.0,23.426666666666666,7.225496915695682,0.8910891089108911,0.3564356435643564,19.453333333333333
S Chanderpaul,8.333333333333334,0.0,0.0,0.7575757575757576,0.48484848484848486,0.0
MA Starc,19.2,19.294117647058822,6.431372549019608,0.9795918367346939,0.40816326530612246,18.0
KAJ Roach,10.0,76.0,8.76923076923077,1.1111111111111112,0.4444444444444444,52.0
M Ashwin,0.0,33.42857142857143,7.9772727272727275,0.0,0.0,25.142857142857142
Niraj Patel,30.25,0.0,0.0,0.9758064516129032,0.5,0.0
AD Nath,5.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0
JJ Roy,29.5,0.0,0.0,1.4390243902439024,1.024390243902439,0.0
BB McCullum,29.559139784946236,0.0,0.0,1.262746899402848,0.8488745980707395,0.0
PD Collingwood,67.66666666666667,20.0,6.666666666666667,1.2767295597484276,0.7169811320754716,18.0
C Madan,15.0,0.0,0.0,0.7142857142857143,0.5714285714285714,0.0
A Chopra,13.25,0.0,0.0,0.7066666666666667,0.37333333333333335,0.0
WP Saha,28.30909090909091,0.0,0.0,1.2772764561115668,0.7071369975389664,0.0
LR Shukla,16.2,28.6,7.895705521472393,1.1312849162011174,0.6368715083798883,21.733333333333334
IR Jaggi,15.2,0.0,0.0,0.76,0.24,0.0
TG Southee,18.0,42.6,7.675675675675675,1.5,0.8333333333333334,33.3
LH Ferguson,1.0,28.0,5.793103448275862,1.0,0.0,29.0
M Kaif,16.333333333333332,0.0,0.0,1.016597510373444,0.5145228215767634,0.0
EJG Morgan,25.87878787878788,0.0,0.0,1.1779310344827587,0.6786206896551724,0.0
SC Ganguly,26.45098039215686,33.6,7.694656488549619,1.0173453996983408,0.6033182503770739,26.2
H Das,2.0,0.0,0.0,0.4,0.0,0.0
A Mukund,9.5,0.0,0.0,0.8260869565217391,0.17391304347826086,0.0
DB Das,25.333333333333332,0.0,0.0,1.1385767790262171,0.704119850187266,0.0
L Ronchi,17.0,0.0,0.0,0.918918918918919,0.8108108108108109,0.0
B Sumanth,35.0,0.0,0.0,0.9210526315789473,0.3157894736842105,0.0
DJ Jacobs,13.142857142857142,0.0,0.0,0.9108910891089109,0.6336633663366337,0.0
BA Stokes,31.6,25.416666666666668,6.678832116788321,1.3920704845814977,0.7841409691629956,22.833333333333332
RS Sodhi,4.0,0.0,0.0,2.0,2.0,0.0
YK Pathan,33.48837209302326,32.926829268292686,6.9468267581475125,1.4021421616358325,0.8851022395326192,28.4390243902439
S Badree,2.6,28.09090909090909,7.0494296577946765,0.52,0.0,23.90909090909091
JP Faulkner,21.869565217391305,28.5,8.129952456418383,1.3521505376344085,0.7365591397849462,21.033333333333335
KL Rahul,31.52173913043478,0.0,0.0,1.224662162162162,0.6554054054054054,0.0
