,Bat_Average,Bowl_Average,Economy,FastScorer,HardHitter,Name,WicketTaker
0,23.30769230769231,26.517857142857146,7.099601593625497,1.2267206477732793,0.6153846153846154,AR Patel,22.410714285714285
1,2.5,25.64102564102564,7.751937984496124,0.35714285714285715,0.0,P Awana,19.846153846153847
2,11.615384615384615,23.610169491525426,7.3187390542907185,0.961783439490446,0.4713375796178344,MG Johnson,19.355932203389827
3,6.0,25.65333333333333,7.4525500322788885,0.72,0.28,L Balaji,20.65333333333333
4,25.5,33.666666666666664,7.087719298245614,1.1333333333333333,0.562962962962963,R Dhawan,28.5
5,25.081632653061227,41.0,8.25,1.5756410256410256,1.1230769230769229,GJ Maxwell,29.818181818181817
6,22.94117647058824,0.0,0.0,0.967741935483871,0.5558312655086849,CA Pujara,0.0
7,29.703296703296704,38.833333333333336,10.130434782608695,1.4933701657458565,1.0806629834254144,V Sehwag,23.0
8,36.34883720930232,0.0,0.0,1.3770925110132157,0.7788546255506608,DA Miller,0.0
9,28.82608695652174,0.0,0.0,1.201086956521739,0.6340579710144928,GJ Bailey,0.0
10,22.2,43.25806451612904,6.807106598984772,1.0373831775700937,0.3177570093457944,M Kartik,38.12903225806452
11,28.30909090909091,0.0,0.0,1.2772764561115668,0.7071369975389664,WP Saha,0.0
