,Bat_Average,Bowl_Average,Economy,FastScorer,HardHitter,Name,WicketTaker
0,35.620689655172406,0.0,0.0,1.2036120011651616,0.6653073113894553,G Gambhir,0.0
1,30.3375,34.12307692307692,7.422197434467372,1.0593627237014405,0.5604539502400698,JH Kallis,27.58461538461539
2,30.45205479452055,0.0,0.0,1.1693845344555498,0.6196738558653341,MK Pandey,0.0
3,31.223140495867767,0.0,0.0,1.2763513513513514,0.7628378378378379,RV Uthappa,0.0
4,33.488372093023266,32.92682926829269,6.9468267581475125,1.4021421616358325,0.8851022395326192,YK Pathan,28.439024390243897
5,23.809523809523807,24.976190476190478,6.819068255687974,1.2468827930174564,0.6633416458852868,Shakib Al Hasan,21.976190476190478
6,22.51851851851852,8.0,8.0,1.269311064718163,0.7139874739039666,SA Yadav,6.0
7,12.91304347826087,28.11,7.982016090866067,1.0569395017793597,0.4626334519572954,R Vinay Kumar,21.13
8,12.6,25.921052631578952,7.069377990430622,1.3548387096774193,0.7956989247311828,M Morkel,22.0
9,15.941176470588234,20.74736842105263,6.12111801242236,1.4041450777202074,1.1191709844559583,SP Narine,20.33684210526316
10,14.083333333333336,25.16666666666667,7.3858695652173925,1.0950323974082072,0.6004319654427646,PP Chawla,20.444444444444443
11,42.66666666666666,0.0,0.0,1.4769230769230768,1.0076923076923077,CA Lynn,0.0
